Symbol,Short Name,"Close (D)
[Trade Date] 2022-02-09
[Price Type] Yield",FULL,"Closing Price (Net)
[Trade Date] 2022-02-09","Estimated Clean Price (SHCH)
[Date] 2022-02-09","Estimated Yield (SHCH)
[Date] 2022-02-09","Estimated Dirty Price (SHCH)
[Date] 2022-02-09","Estimated Yield (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Clean Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Dirty Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended",Dated Date,"Remaining Maturity (Year)
[Date] Most Recent
[Unit] Yearly",Initial Face Value,"Bond Latest Face Value
[Trade Date] Last Closing Day",Latest Bond Rating,Maturity Date,Coupon Type,Interest Accrual Method,Coupon Description,Coupon Frequency,COUPON_DATE,"Bond Term (Year)
[Unit] Yearly",Maturities (Text),Interest Reference,Coupon Date Description,"Bond Term (Year)
[Unit] Yearly","Issue Amount
[Unit] (100M)"
167537.SH,LIANYUNGANG URBAN CONSTRUCTION GROUP 6.4% B251217,7.7027,100.9644,100,103.242,5.4376,104.2064,,,,12/17/2020,3.8521,100,100,AA+,12/17/2025,Fixed Interest Rate,Simple interest,6.40%,1,12月17日,5,5+N,A/365F,"Interest is paid on December 17 each year, holidays are postponed",5,5
197783.SH,21 Pengcheng 01,6.3811,101.2099,100,100.7499,6.0903,101.9597,,,,12/3/2021,2.8137,100,100,AA+,12/3/2024,Fixed Interest Rate,Simple interest,6.40%,1,12月3日,3,3,A/365F,The interest payment holiday is postponed on December 2 every year,3,5
152326.SH,19 days water 01,6.378,101.5255,100,101.4938,5.7745,103.0193,,,,11/15/2019,4.7644,100,100,AAA,11/15/2026,Fixed Interest Rate,Simple interest,6.40%,1,11月15日,7,5.0044,A/365,"Pay interest on November 15 every year, and holidays are postponed",7,5
152520.SH,CHENGDU SHUZHOU CONSTRUCTION INVESTMENT 6.40% B270813,6.3777,103.1737,100,102.4953,5.5709,105.669,,,,8/13/2020,5.5068,100,100,AAA,8/13/2027,Fixed Interest Rate,Simple interest,6.40%,1,8月13日,7,5.0022,A/365,"Pay interest on August 13 every year, and postpone holidays",7,3.3
124890.SH,GANSU ELECTRIC POWER INV 6.4% B240805,1.5896,114.914,111.6,106.4542,3.6222,109.7682,,,,8/5/2014,2.4849,100,100,AAA,8/5/2024,Fixed Interest Rate,Simple interest,6.40%,1,8月5日,10,10,A/365,"Pay interest on August 5 every year, and postpone holidays",10,10
155337.SH,NINGBO SHUN TONG GROUP 6.40% B240425,6.375,105.1025,100,106.3274,3.3635,111.4299,,,,4/25/2019,2.2055,100,100,AA+,4/25/2024,Fixed Interest Rate,Simple interest,6.40%,1,4月25日,5,5,A/365F,The interest payment will be postponed on April 25 every year,5,8
163162.SH,20Tianji  01,8.4269,105.7166,99.79,99.7174,9.6742,105.644,,,,3/9/2020,0.0767,100,100,AA+,3/9/2022,Fixed Interest Rate,Simple interest,6.40%,1,3月9日,2,2,A/365F,"Pay interest on March 9 every year, and holidays are postponed",2,3
196548.SH,21 Peng Jian 02,6.3866,100.6312,100,100.5674,6.1739,101.1986,,,,1/5/2022,2.9041,100,100,AA+,1/5/2025,Fixed Interest Rate,Simple interest,6.40%,1,1月5日,3,3,A/365F,"Pay interest on January 5 every year, and holidays are postponed",3,5.91
178731.SH,GZPR 6.38% B240607,6.3511,104.3349,100,100.8606,5.9529,105.1955,,,,6/7/2021,2.3233,100,100,AAA,6/7/2024,Fixed Interest Rate,Simple interest,6.38%,1,6月7日,3,3,A/365F,The interest payment holiday will be postponed on June 7 every year,3,13
196262.SH,22 week port 01,6.3642,100.3845,100,100.182,6.2713,100.5665,,,,1/19/2022,1.9425,100,100,AA+,1/19/2024,Fixed Interest Rate,Simple interest,6.38%,1,1月19日,2,2,A/365F,"Pay interest on January 19 each year, and holidays are postponed",2,5
184152.SH,21 Yangxin 02,6.3493,101.0106,100,100.2189,6.2991,101.2295,,,,12/14/2021,6.8438,100,100,AAA,12/14/2028,Fixed Interest Rate,Simple interest,6.36%,1,12月14日,7,5.0033,A/365,The interest payment holiday will be postponed on December 14 every year,7,4
155502.SH,CFC 6.35% B220709,6.4403,103.6078,99.85,100.0837,5.9175,103.8416,,,,7/9/2019,0.411,100,100,AA+,7/9/2022,Fixed Interest Rate,Simple interest,6.35%,1,7月9日,3,3,A/365F,"Pay interest on July 9 every year, and holidays are postponed",3,10
197174.SH,21 Hengye Y2,8.459,101.6276,100,100.4847,5.997,102.1123,,,,11/8/2021,1.7452,100,100,AA+,11/8/2023,Fixed Interest Rate,Simple interest,6.32%,1,11月8日,2,2+N,A/365F,"Pay interest on November 8 each year, and postpone holidays",2,4
197984.SH,21 Dengzhou 03,6.2854,100.7767,100,100.7339,6.007,101.5106,,,,12/27/2021,2.8795,100,100,AAA,12/27/2024,Fixed Interest Rate,Simple interest,6.30%,1,12月27日,3,3,A/365F,"Pay interest on December 27 every year, and holidays are postponed",3,3
177462.SH,RUNXIN CONSTRUCTION 6.3% B231224,6.2775,100.8285,100,102.2818,4.981,103.1103,,,,12/24/2020,1.8712,100,100,AA+,12/24/2023,Fixed Interest Rate,Simple interest,6.30%,1,12月24日,3,3,A/365F,"Pay interest on December 24 every year, and postpone holidays",3,1.5
178990.SH,21 Shangdu 01,6.2837,100.9493,100,100.7423,5.9997,101.6917,,,,12/17/2021,2.8521,100,100,AAA,12/17/2024,Fixed Interest Rate,Simple interest,6.30%,1,12月17日,3,3,A/365F,"Interest is paid on December 17 each year, holidays are postponed",3,3
152695.SH,QIANJIANG CITY URBAN CONSTRUCTION INVESTMENT AND DEVELOPMENT 6.3% B251215,6.2838,100.9838,100,103.2125,5.0833,104.1964,,,,12/15/2020,3.8466,100,100,AAA,12/15/2025,Fixed Interest Rate,Simple interest,6.30%,1,12月15日,5,4.1019,A/365,The interest payment will be postponed on December 15 every year,5,2.5
184137.SH,21 Zijin 01,6.2882,101.2427,100,101.1637,6.0037,102.4065,,,,11/30/2021,6.8055,100,100,AA+,11/30/2028,Fixed Interest Rate,Simple interest,6.30%,1,11月30日,7,5.0033,A/365,"Pay interest on November 30 every year, and holidays are postponed",7,1.6
197411.SH,CHONGQING BEIBEI NEW CITY CONSTRUCTION B241027,6.2767,101.8296,100,101.8829,5.5187,103.7124,,,,10/27/2021,2.7123,100,100,AA+,10/27/2024,Fixed Interest Rate,Simple interest,6.30%,1,10月27日,3,3,A/365F,"Pay interest on October 27 every year, and holidays are postponed",3,5.4
197089.SH,21 Dengzhou 01,6.2735,102.4164,100,101.4945,5.6523,103.9109,,,,9/23/2021,2.6192,100,100,AAA,9/23/2024,Fixed Interest Rate,Simple interest,6.30%,1,9月23日,3,3,A/365F,The interest payment holiday will be postponed every September 23,3,3
197145.SH,21 Bincheng 02,6.2729,102.5373,100,100.7467,5.9625,103.284,,,,9/16/2021,2.6,100,100,AA+,9/16/2024,Fixed Interest Rate,Simple interest,6.30%,1,9月16日,3,3,A/365F,The interest payment holiday is postponed on September 16 every year,3,10
152989.SH,21 Honghu debt,6.2827,103.1759,100,102.6116,5.6083,105.7875,,,,8/10/2021,6.4986,100,100,AAA,8/10/2028,Fixed Interest Rate,Simple interest,6.30%,1,8月10日,7,5.0033,A/365,"Pay interest on August 10 every year, and postpone holidays",7,2.9
152237.SH,CJHG 6.3% B260729,6.7799,102.283,98.9,104.3666,4.3457,107.7496,,,,7/29/2019,4.4658,100,100,AA+,7/29/2026,Fixed Interest Rate,Simple interest,6.30%,1,7月29日,7,5.0044,A/365,"Pay interest on July 29 every year, and postpone holidays",7,14
152913.SH,YONGZHOU LINGLING URBAN CONSTRUCTION 6.3% B280628,4.962,108.9681,105.05,103.7519,5.2968,107.67,,,,6/28/2021,6.3808,100,100,AAA,6/28/2028,Fixed Interest Rate,Simple interest,6.30%,1,6月28日,7,5.0033,A/365,"Pay interest on June 28 every year, and postpone holidays",7,7
150499.SH,SHANGHAI DANING ASSET MANAGEMENT (GROUP) 6.3% B230628,6.2514,103.9181,100,104.4147,2.967,108.3328,,,,6/28/2018,1.3808,100,100,AA+,6/28/2023,Fixed Interest Rate,Simple interest,6.30%,1,6月28日,5,5,A/365F,"Pay interest on June 28 every year, and postpone holidays",5,8
155924.SH,19TBEA Y1,9.1231,104.4532,100,100.5824,4.1065,105.0356,,,,5/28/2019,0.2959,100,100,AAA,5/28/2022,Fixed Interest Rate,Simple interest,6.30%,1,5月28日,3,3+N,A/365F,"Pay interest on May 28 every year, and postpone holidays",3,7.7
152808.SH,PENGSHUI COUNTY URBAN CONSTRUCTION INVESTMENT 6.3% B280408,6.2877,105.3162,100,103.5158,5.318,108.8319,,,,4/8/2021,6.1589,100,100,AAA,4/8/2028,Fixed Interest Rate,Simple interest,6.30%,1,4月8日,7,5.0033,A/365,"Pay interest on April 8 every year, and postpone holidays",7,6
152436.SH,0.2 million National debts,6.2859,105.5405,100,99.4076,6.512,104.9481,,,,3/26/2020,5.1233,100,100,AA+,3/26/2027,Fixed Interest Rate,Simple interest,6.30%,1,3月26日,7,5.0022,A/365,"March 26, March 26, payment, holiday",7,10
152365.SH,19LuanChuan County 02,6.2657,100.7226,100,101.3617,5.738,102.0843,,,,12/30/2019,4.8877,100,100,AAA,12/30/2026,Fixed Interest Rate,Simple interest,6.28%,1,12月30日,7,5.0044,A/365,"Interest is paid on December 30 every year, holidays are postponed",7,4
184075.SH,21 Jinhu 03,6.2542,102.319,100,101.7048,5.8242,104.0238,,,,9/28/2021,6.6329,100,100,AA+,9/28/2028,Fixed Interest Rate,Simple interest,6.27%,1,9月28日,7,5.0033,A/365,"Pay interest on September 28 each year, and holidays are postponed",7,2
152375.SH,ZHOUSHAN LIUHENG STATE-OWNED ASSETS INVESTMENT AND MANAGEMENT 6.25% B261231,6.236,100.7021,100,101.7209,5.5702,102.423,,,,12/31/2019,4.8904,100,100,AAA,12/31/2026,Fixed Interest Rate,Simple interest,6.25%,1,12月31日,7,5.0044,A/365,Pay interest on December 31 of each year and postpone holidays,7,6
152896.SH,GUANG'AN ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE HANG SENG INVESTMENT DEVELOPMENT 6.25% B280607,6.2339,104.2466,100,102.8718,5.4675,107.1184,,,,6/7/2021,6.3233,100,100,AAA,6/7/2028,Fixed Interest Rate,Simple interest,6.25%,1,6月7日,7,5.0033,A/365,The interest payment holiday will be postponed on June 7 every year,7,9
152370.SH,19YiYang 01,8.2838,95.7384,94.94,102.7219,5.1324,103.5202,,,,12/25/2019,4.874,100,100,AAA,12/25/2026,Fixed Interest Rate,Simple interest,6.20%,1,12月25日,7,5.0044,A/365,"Interest is paid on December 25 every year, holidays are postponed",7,7
197923.SH,21 Jincai 01,6.1848,100.8663,100,100.7371,5.9041,101.6034,,,,12/21/2021,2.863,100,100,AAA,12/21/2024,Fixed Interest Rate,Simple interest,6.20%,1,12月21日,3,3,A/365F,The interest payment will be postponed on December 21 every year,3,5
152681.SH,20 Wendeng Bond,6.1868,101.0701,100,101.9445,5.6067,103.0146,,,,12/9/2020,5.8301,100,100,AA+,12/9/2027,Fixed Interest Rate,Simple interest,6.20%,1,12月9日,7,5.0022,A/365,The interest payment will be postponed on December 9 every year,7,6
143413.SH,GUIZHOU INDUSTRIAL INVESTMENT 6.2% B221128,-1.0006,107.057,105.8,102.6794,2.7317,103.9364,,,,11/28/2017,0.8,100,100,AAA,11/28/2022,Fixed Interest Rate,Simple interest,6.20%,1,11月28日,5,5,A/365F,"November 28th, payment, holiday",5,11.3
167752.SH,GPYRE 6.20% B221019,6.0581,101.9364,100,87.9787,26.3373,89.9151,,,,10/19/2020,0.6904,100,100,AAA,10/19/2022,Fixed Interest Rate,Simple interest,6.20%,1,10月19日,2,2,A/365F,"Pay interest on October 19 each year, and holidays are postponed",2,15
152571.SH,YUZHOU INVESTMENT 6.20% B270910,6.083,102.8989,100.3,103.2733,5.1504,105.8722,,,,9/10/2020,5.5836,100,100,AAA,9/10/2027,Fixed Interest Rate,Simple interest,6.20%,1,9月10日,7,5.0022,A/365,The interest payment holiday is postponed on September 10 every year,7,5
155679.SH,19 Hing Fat 02,6.0146,102.5989,100,101.3367,3.751,103.9356,,,,9/10/2019,0.5836,100,100,AA+,9/10/2022,Fixed Interest Rate,Simple interest,6.20%,1,9月10日,3,3,A/365F,The interest payment holiday is postponed on September 10 every year,3,6
167360.SH,ZOUCHENG LIMIN CONSTRU DEVELOP 6.20% B230804,6.1541,103.2274,100,99.8747,6.257,103.1021,,,,8/4/2020,1.4822,100,100,AA+,8/4/2023,Fixed Interest Rate,Simple interest,6.20%,1,8月4日,3,3,A/365F,"Pay interest on August 4 every year, and postpone holidays",3,4.1
167390.SH,JIANGSU YINGZHOU DEVELOPMENT GROUP 6.2% B230804,6.1541,103.2274,100,101.3479,5.2017,104.5753,,,,8/4/2020,1.4822,100,100,AA+,8/4/2023,Fixed Interest Rate,Simple interest,6.20%,1,8月4日,3,3,A/365F,"Pay interest on August 4 every year, and postpone holidays",3,5.4
167129.SH,GPYRE 6.2% B220713,5.9456,103.6011,100,89.3667,33.9548,92.9678,,,,7/13/2020,0.4219,100,100,AAA,7/13/2022,Fixed Interest Rate,Simple interest,6.20%,1,7月13日,2,2,A/365F,The interest payment will be postponed on July 13 every year,2,15
188178.SH,FOSUN 6.2% B230601,6.1537,104.3145,100,99.9137,6.2382,104.2282,,,,6/1/2021,1.3068,100,100,AAA,6/1/2023,Fixed Interest Rate,Simple interest,6.20%,1,6月1日,2,2,A/365F,"Pay interest on June 1st every year, and holidays are postponed",2,5
155937.SH,XMXYG 6.2% B220506,9.057,104.7562,100,100.5448,3.6661,105.301,,,,5/6/2019,0.2356,100,100,AAA,5/6/2022,Fixed Interest Rate,Simple interest,6.20%,1,5月6日,3,3+N,A/365F,The interest payment holiday is postponed on May 6 every year,3,7.6
152460.SH,JI'AN DEVELOPMENT ZONE IN JINGGANGSHAN CITY JIN LULING ECONOMIC DEVELOPMENT 6.2% B270428,6.1826,104.8921,100,100.032,6.1773,104.9241,,,,4/28/2020,5.2137,100,100,AA+,4/28/2027,Fixed Interest Rate,Simple interest,6.20%,1,4月28日,7,5.0022,A/365,The annual interest payment holiday will be postponed on April 28th,7,9
152393.SH,20 Yuexing Bond,7.1272,102.9256,97.49,99.8575,6.245,105.2931,,,,3/27/2020,5.126,100,100,AAA,3/27/2027,Fixed Interest Rate,Simple interest,6.20%,1,3月27日,7,5.0022,A/365,"Pay interest on March 27 every year, and holidays are postponed",7,10
177432.SH,YIZHENG URBAN AND RURAL WATER SUPPLY 6.20% B240105,6.1811,100.6115,100,102.1751,4.9655,102.7866,,,,1/5/2021,1.9041,100,100,AA+,1/5/2024,Fixed Interest Rate,Simple interest,6.20%,1,1月5日,3,3,A/365F,"Pay interest on January 5 every year, and holidays are postponed",3,5
122282.SH,HAITONG SECURITIES 6.18% B231125,-2.4478,117.3037,116,106.0084,2.6873,107.3121,,,,11/25/2013,1.7918,100,100,AAA,11/25/2023,Fixed Interest Rate,Simple interest,6.18%,1,11月25日,10,10,A/365F,"Interest is paid on November 25 every year, holidays are postponed",10,23.9
152120.SH,SICHUAN JANE CITY INVESTMENT 6.17% B260312,3.3203,111.2029,105.54,103.7742,4.197,109.4371,,,,3/12/2019,4.0849,100,100,AAA,3/12/2026,Fixed Interest Rate,Simple interest,6.17%,1,3月12日,7,5.0044,A/365,"Interest is paid on March 12 every year, holidays are postponed",7,6
175159.SH,HONGFEI GROUP 6.15% B230917,6.1093,102.46,100,100.582,5.7314,103.042,,,,9/17/2020,1.6027,100,100,AAA,9/17/2023,Fixed Interest Rate,Simple interest,6.15%,1,9月17日,3,3,A/365F,The interest payment will be postponed on September 17 every year,3,2.5
152212.SH,YICHUAN FINANCIAL INDUSTRY INVESTMENT 6.15% B260612,4.715,107.0944,103,103.7498,4.3807,107.8441,,,,6/12/2019,4.337,100,100,AAA,6/12/2026,Fixed Interest Rate,Simple interest,6.15%,1,6月12日,7,5.0044,A/365,The interest payment holiday will be postponed on June 12 every year,7,7
122272.SH,YANZHOUCOAL 6.15% B240303,6.1355,105.7962,100,106.2438,2.9742,112.0399,,,,3/3/2014,2.0603,100,100,AAA,3/3/2024,Fixed Interest Rate,Simple interest,6.15%,1,3月3日,10,10,A/365F,"Pay interest on March 3 every year, and postpone holidays",10,30.5
143453.SH,JILIN PROVINCIAL EXPRESSWAY GROUP 6.15% B230122,4.1509,102.1201,101.8,102.5396,3.3744,102.8598,,,,1/22/2018,0.9507,100,100,AAA,1/22/2023,Fixed Interest Rate,Simple interest,6.15%,1,1月22日,5,5,A/365F,"Pay interest on January 22 every year, and holidays are postponed",5,15
152243.SH,CHENGDU XINGSHU INVESTMENT DEVELOPMENT 6.13% B260729,5.702,104.1717,100.88,102.5425,4.97,105.8342,,,,7/29/2019,4.4658,100,100,AAA,7/29/2026,Fixed Interest Rate,Simple interest,6.13%,1,7月29日,7,5.0044,A/365,"Pay interest on July 29 every year, and postpone holidays",7,6.6
177583.SH,CHANGDE DINGCHENG JIANGNAN NEW TOWN CONSTRUCTION INVESTMENT AND DEVELOPMENT 6.13% B240114,6.1138,100.4535,100,102.5623,4.7022,103.0157,,,,1/14/2021,1.9288,100,100,AAA,1/14/2024,Fixed Interest Rate,Simple interest,6.13%,1,1月14日,3,3,A/365F,"Interest is paid on January 14 every year, holidays are postponed",3,3
177480.SH,JIANGSU GANJIAN GROUP 6.1% B251230,6.0898,100.7019,100,103.0957,5.195,103.7976,,,,12/30/2020,3.8877,100,100,AAA,12/30/2025,Fixed Interest Rate,Simple interest,6.10%,1,12月30日,5,5,A/365F,"Interest is paid on December 30 every year, holidays are postponed",5,2
184141.SH,21 Guanjiang Bonds,6.0888,101.22,100,101.3234,5.7665,102.5434,,,,11/29/2021,6.8027,100,100,AAA,11/29/2028,Fixed Interest Rate,Simple interest,6.10%,1,11月29日,7,5.0033,A/365,"Pay interest on November 29 every year, and holidays are postponed",7,9
188793.SH,21 Zhonglin 01,6.0765,102.0222,100,93.8515,8.7582,95.8737,,,,10/12/2021,2.6712,100,100,AAA,10/12/2024,Fixed Interest Rate,Simple interest,6.10%,1,10月12日,3,3,A/365F,"Pay interest on October 12 every year, and postpone holidays",3,10
124720.SH,CHINA POWER INV 6.1% B290424,6.0919,104.88,100,116.7696,3.4294,121.6496,,,,4/24/2014,7.2027,100,100,AAA,4/24/2029,Fixed Interest Rate,Simple interest,6.10%,1,4月24日,15,15,A/365,"Pay interest on April 24 every year, and postpone holidays",15,20
184016.SH,21 East Po 2,6.0746,102.4527,100,101.4667,5.704,103.9194,,,,9/16/2021,6.6,100,100,AAA,9/16/2028,Fixed Interest Rate,Simple interest,6.09%,1,9月16日,7,5.0033,A/365,The interest payment holiday is postponed on September 16 every year,7,3
122317.SH,GYGS 6.09% B240811,2.7227,111.0533,108,108.1313,2.674,111.1846,,,,8/11/2014,2.5014,100,100,AAA,8/11/2024,Fixed Interest Rate,Simple interest,6.09%,1,8月11日,10,10,A/365F,"Pay interest on August 11 every year, and postpone holidays",10,23
178737.SH,21 Huaihua 02,6.0373,102.8318,100,100.4372,5.7446,103.269,,,,8/24/2021,1.537,100,100,AAA,8/24/2023,Fixed Interest Rate,Simple interest,6.08%,1,8月24日,2,2,A/365F,The interest payment holiday is postponed on August 24 every year,2,4.4
143522.SH,JILIN PROVINCIAL EXPRESSWAY GROUP 6.08% B230321,3.0334,108.6804,103.25,102.7995,3.4495,108.2299,,,,3/21/2018,1.1096,100,100,AAA,3/21/2023,Fixed Interest Rate,Simple interest,6.08%,1,3月21日,5,5,A/365F,"Pay interest on March 21 every year, and holidays are postponed",5,35
152596.SH,HUBEI DAYEHU HIGH-TECH INDUSTRIAL INVESTMENT 6.03% B270924,6.0115,102.2964,100,102.7382,5.1591,105.0346,,,,9/24/2020,5.6219,100,100,AAA,9/24/2027,Fixed Interest Rate,Simple interest,6.03%,1,9月24日,7,5.0022,A/365,The interest payment holiday will be postponed every September 24,7,11
177605.SH,YANGZHOU JIANGDU YANJIANG DEVELOPMENT 6.01% B230118,5.9699,100.3787,100,101.462,4.3693,101.8407,,,,1/18/2021,0.9397,100,100,AA+,1/18/2023,Fixed Interest Rate,Simple interest,6.01%,1,1月18日,2,2,A/365F,"Pay interest on January 18 each year, and holidays are postponed",2,11
196103.SH,21 Pingzi 01,5.9871,100.674,100,100.7665,5.6983,101.4405,,,,12/31/2021,2.8904,100,100,AA+,12/31/2024,Fixed Interest Rate,Simple interest,6.00%,1,12月31日,3,3,A/365F,Pay interest on December 31 of each year and postpone holidays,3,5
184184.SH,21 Yigao bonds,5.9916,100.7233,100,100.8909,5.7788,101.6142,,,,12/28/2021,6.8822,100,100,AAA,12/28/2028,Fixed Interest Rate,Simple interest,6%,1,12月28日,7,5.0033,A/365,"Pay interest on December 28 every year, and postpone holidays",7,9
197990.SH,21 Dengzhou 04,5.9799,100.7397,100,100.2985,5.817,101.0382,,,,12/27/2021,1.8795,100,100,AAA,12/27/2023,Fixed Interest Rate,Simple interest,6.00%,1,12月27日,2,2,A/365F,"Pay interest on December 27 every year, and holidays are postponed",2,2
152371.SH,19 Yang Jiao Debt,5.0163,103.2726,102.5,101.6911,5.3314,102.4637,,,,12/25/2019,4.874,100,100,AAA,12/25/2026,Fixed Interest Rate,Simple interest,6.00%,1,12月25日,7,5.0044,A/365,"Interest is paid on December 25 every year, holidays are postponed",7,7.2
177452.SH,RUDONG COUNTY MINTAI URBAN CONSTRUCTION ENGINEERING 6% B221223,5.9333,100.8055,100,100.2097,5.7,101.0151,,,,12/23/2020,0.8685,100,100,AA+,12/23/2022,Fixed Interest Rate,Simple interest,6%,1,12月23日,2,2,A/365F,The interest payment holiday is postponed on December 23 every year,2,8
152705.SH,LUZHOU LONGCHI INDUSTRIAL GROUP 6.00% B271222,5.989,100.8219,100,103.063,5.0909,103.8849,,,,12/22/2020,5.8658,100,100,AAA,12/22/2027,Fixed Interest Rate,Simple interest,6%,1,12月22日,7,5.0022,A/365,The interest payment holiday is postponed on December 22 every year,7,4
197013.SH,21 Xingshu 01,5.9857,100.8219,100,99.9636,6.0062,100.7856,,,,12/22/2021,2.8658,100,100,AAA,12/22/2024,Fixed Interest Rate,Simple interest,6.00%,1,12月22日,3,3,A/365F,The interest payment holiday is postponed on December 22 every year,3,3
184145.SH,21 Xinyuan Debt,5.9885,100.9534,100,100.771,5.7682,101.7245,,,,12/14/2021,4.8438,100,100,AAA,12/14/2026,Fixed Interest Rate,Simple interest,6.00%,1,12月14日,5,4.1027,A/365,The interest payment holiday will be postponed on December 14 every year,5,5.6
197538.SH,21 Tongtou 04,5.9825,101.2,100,100.6711,5.7233,101.8711,,,,11/29/2021,2.8027,100,100,AAA,11/29/2024,Fixed Interest Rate,Simple interest,6.00%,1,11月29日,3,3,A/365F,"Pay interest on November 29 every year, and holidays are postponed",3,4.5
184129.SH,21 Blue Ocean 03,5.9889,101.2493,100,101.3317,5.6649,102.581,,,,11/26/2021,6.7945,100,100,AAA,11/26/2028,Fixed Interest Rate,Simple interest,6.00%,1,11月26日,7,5.0033,A/365,The interest payment will be postponed on November 26 every year,7,6
197636.SH,21 Eyebrows Day 01,5.9821,101.2493,100,100.5367,5.7753,101.786,,,,11/26/2021,2.7945,100,100,AA+,11/26/2024,Fixed Interest Rate,Simple interest,6.00%,1,11月26日,3,3,A/365F,The interest payment will be postponed on November 26 every year,3,9.3
152329.SH,19 Han Pu 01,5.9804,101.4301,100,103.4742,4.6006,104.9044,,,,11/15/2019,4.7644,100,100,AA+,11/15/2026,Fixed Interest Rate,Simple interest,6.00%,1,11月15日,7,5.0044,A/365,"Pay interest on November 15 every year, and holidays are postponed",7,5
152652.SH,YANCHENG HIGH-TECH ZONE 6% B271113,5.9851,101.463,100,101.6593,5.4837,103.1224,,,,11/13/2020,5.7589,100,100,AA+,11/13/2027,Fixed Interest Rate,Simple interest,6%,1,11月13日,7,5.0022,A/365,"Pay interest on November 13 every year, and holidays are postponed",7,8.3
177076.SH,YINCHUAN INDUSTRY CITY CAPITAL INVESTMENT HOLDING 6% B231112,5.9702,101.4795,100,100.4364,5.7124,101.9158,,,,11/12/2020,1.7562,100,100,AA+,11/12/2023,Fixed Interest Rate,Simple interest,6%,1,11月12日,3,3,A/365F,"Pay interest on November 12 every year, and holidays are postponed",3,3
177041.SH,LINZHOU CITY INVESTMENT GROUP 6% B231103,5.9685,101.6274,100,99.5331,6.2707,101.1605,,,,11/3/2020,1.7315,100,100,AAA,11/3/2023,Fixed Interest Rate,Simple interest,6%,1,11月3日,3,3,A/365F,"Pay interest on November 3, and postpone holidays",3,3
167942.SH,LIUZHOU CULTURE & TOURISM 6.00% B231023,5.9665,101.8082,100,102.0756,4.6824,103.8838,,,,10/23/2020,1.7014,100,100,AA+,10/23/2023,Fixed Interest Rate,Simple interest,6.00%,1,10月23日,3,3,A/365F,The interest payment holiday will be postponed on October 23 every year,3,1.3
167820.SH,XUCHANG WEIDU INVESTMENT 6% B231016,5.9653,101.9233,100,99.7749,6.1201,101.6982,,,,10/16/2020,1.6822,100,100,AAA,10/16/2023,Fixed Interest Rate,Simple interest,6%,1,10月16日,3,3,A/365F,The interest payment holiday will be postponed on October 16 every year,3,3
188688.SH,21 Jinguang 01,5.9762,102.1863,100,96.3505,7.5568,98.5368,,,,9/30/2021,2.6384,100,100,AAA,9/30/2024,Fixed Interest Rate,Simple interest,6.00%,1,9月30日,3,3,A/365F,"Pay interest on September 30 every year, and holidays are postponed",3,10
152601.SH,LINQUAN COUNTY TRANSPORTATION CONSTRUCTION INVESTMENT 6.00% B270929,5.9819,102.2027,100,102.9626,5.0645,105.1654,,,,9/29/2020,5.6356,100,100,AAA,9/29/2027,Fixed Interest Rate,Simple interest,6%,1,9月29日,7,5.0022,A/365,"Pay interest on September 29 every year, and holidays are postponed",7,3.2
155746.SH,19 Cloud Engineering 03,5.8412,102.2685,100,97.1437,10.6554,99.4122,,,,9/25/2019,0.6247,100,100,AA+,9/25/2022,Fixed Interest Rate,Simple interest,6%,1,9月25日,3,3,A/365F,"Pay interest on September 25 each year, and holidays are postponed",3,4.8
162185.SH,19 Jianggong Y1,8.6629,102.2685,100,101.4984,3.4603,103.7669,,,,9/25/2019,0.6247,100,100,AA+,9/25/2022,Fixed Interest Rate,Simple interest,6%,1,9月25日,3,3+N,A/365F,"Pay interest on September 25 each year, and holidays are postponed",3,10
197091.SH,21 Dengzhou 02,5.9618,102.3014,100,100.4463,5.6773,102.7476,,,,9/23/2021,1.6192,100,100,AAA,9/23/2023,Fixed Interest Rate,Simple interest,6.00%,1,9月23日,2,2,A/365F,The interest payment holiday will be postponed every September 23,2,2
184015.SH,21 East Po 1,5.985,102.4164,100,101.5069,5.6051,103.9234,,,,9/16/2021,6.6,100,100,AAA,9/16/2028,Fixed Interest Rate,Simple interest,6%,1,9月16日,7,5.0033,A/365,The interest payment holiday is postponed on September 16 every year,7,7
197074.SH,21 Jinyang 02,5.9752,102.4164,100,100.6807,5.6937,103.0972,,,,9/16/2021,2.6,100,100,AA+,9/16/2024,Fixed Interest Rate,Simple interest,6.00%,1,9月16日,3,3,A/365F,The interest payment holiday is postponed on September 16 every year,3,9.2
197038.SH,ZIBO HIGH TECH INDUSTRIAL DEVELOPMENT ZONE STATE-OWNED ASSETS MANAGEMENT 6.00% B230914,5.9606,102.4493,100,99.6329,6.2196,102.0823,,,,9/14/2021,1.5945,100,100,AA+,9/14/2023,Fixed Interest Rate,Simple interest,6.00%,1,9月14日,2,2,A/365F,The interest payment holiday will be postponed on September 14 every year,2,5
